,0
225,"[[3, 4], [0, 2, 3]]"
226,"[[3, 4], [0, 2, 4]]"
227,"[[3, 4], [1, 2, 3]]"
228,"[[3, 4], [1, 2, 4]]"
229,"[[3, 4], [0, 1, 2, 3]]"
230,"[[3, 4], [0, 1, 2, 4]]"
231,"[[0, 1, 2], [0, 1, 3]]"
232,"[[0, 1, 2], [0, 1, 4]]"
233,"[[0, 1, 2], [0, 2, 3]]"
234,"[[0, 1, 2], [0, 2, 4]]"
235,"[[0, 1, 2], [0, 3, 4]]"
236,"[[0, 1, 2], [1, 2, 3]]"
237,"[[0, 1, 2], [1, 2, 4]]"
238,"[[0, 1, 2], [1, 3, 4]]"
239,"[[0, 1, 2], [2, 3, 4]]"
240,"[[0, 1, 2], [0, 1, 3, 4]]"
241,"[[0, 1, 2], [0, 2, 3, 4]]"
242,"[[0, 1, 2], [1, 2, 3, 4]]"
243,"[[0, 1, 3], [0, 1, 4]]"
244,"[[0, 1, 3], [0, 2, 3]]"
245,"[[0, 1, 3], [0, 2, 4]]"
246,"[[0, 1, 3], [0, 3, 4]]"
247,"[[0, 1, 3], [1, 2, 3]]"
248,"[[0, 1, 3], [1, 2, 4]]"
249,"[[0, 1, 3], [1, 3, 4]]"
250,"[[0, 1, 3], [2, 3, 4]]"
251,"[[0, 1, 3], [0, 1, 2, 4]]"
252,"[[0, 1, 3], [0, 2, 3, 4]]"
253,"[[0, 1, 3], [1, 2, 3, 4]]"
254,"[[0, 1, 4], [0, 2, 3]]"
255,"[[0, 1, 4], [0, 2, 4]]"
256,"[[0, 1, 4], [0, 3, 4]]"
257,"[[0, 1, 4], [1, 2, 3]]"
258,"[[0, 1, 4], [1, 2, 4]]"
259,"[[0, 1, 4], [1, 3, 4]]"
260,"[[0, 1, 4], [2, 3, 4]]"
261,"[[0, 1, 4], [0, 1, 2, 3]]"
262,"[[0, 1, 4], [0, 2, 3, 4]]"
263,"[[0, 1, 4], [1, 2, 3, 4]]"
264,"[[0, 2, 3], [0, 2, 4]]"
265,"[[0, 2, 3], [0, 3, 4]]"
266,"[[0, 2, 3], [1, 2, 3]]"
267,"[[0, 2, 3], [1, 2, 4]]"
268,"[[0, 2, 3], [1, 3, 4]]"
269,"[[0, 2, 3], [2, 3, 4]]"
270,"[[0, 2, 3], [0, 1, 2, 4]]"
271,"[[0, 2, 3], [0, 1, 3, 4]]"
272,"[[0, 2, 3], [1, 2, 3, 4]]"
273,"[[0, 2, 4], [0, 3, 4]]"
274,"[[0, 2, 4], [1, 2, 3]]"
275,"[[0, 2, 4], [1, 2, 4]]"
276,"[[0, 2, 4], [1, 3, 4]]"
277,"[[0, 2, 4], [2, 3, 4]]"
278,"[[0, 2, 4], [0, 1, 2, 3]]"
279,"[[0, 2, 4], [0, 1, 3, 4]]"
280,"[[0, 2, 4], [1, 2, 3, 4]]"
281,"[[0, 3, 4], [1, 2, 3]]"
282,"[[0, 3, 4], [1, 2, 4]]"
283,"[[0, 3, 4], [1, 3, 4]]"
284,"[[0, 3, 4], [2, 3, 4]]"
285,"[[0, 3, 4], [0, 1, 2, 3]]"
286,"[[0, 3, 4], [0, 1, 2, 4]]"
287,"[[0, 3, 4], [1, 2, 3, 4]]"
288,"[[1, 2, 3], [1, 2, 4]]"
289,"[[1, 2, 3], [1, 3, 4]]"
290,"[[1, 2, 3], [2, 3, 4]]"
291,"[[1, 2, 3], [0, 1, 2, 4]]"
292,"[[1, 2, 3], [0, 1, 3, 4]]"
293,"[[1, 2, 3], [0, 2, 3, 4]]"
294,"[[1, 2, 4], [1, 3, 4]]"
295,"[[1, 2, 4], [2, 3, 4]]"
296,"[[1, 2, 4], [0, 1, 2, 3]]"
297,"[[1, 2, 4], [0, 1, 3, 4]]"
298,"[[1, 2, 4], [0, 2, 3, 4]]"
299,"[[1, 3, 4], [2, 3, 4]]"
300,"[[1, 3, 4], [0, 1, 2, 3]]"
301,"[[1, 3, 4], [0, 1, 2, 4]]"
302,"[[1, 3, 4], [0, 2, 3, 4]]"
303,"[[2, 3, 4], [0, 1, 2, 3]]"
304,"[[2, 3, 4], [0, 1, 2, 4]]"
305,"[[2, 3, 4], [0, 1, 3, 4]]"
306,"[[0, 1, 2, 3], [0, 1, 2, 4]]"
307,"[[0, 1, 2, 3], [0, 1, 3, 4]]"
308,"[[0, 1, 2, 3], [0, 2, 3, 4]]"
309,"[[0, 1, 2, 3], [1, 2, 3, 4]]"
310,"[[0, 1, 2, 4], [0, 1, 3, 4]]"
311,"[[0, 1, 2, 4], [0, 2, 3, 4]]"
312,"[[0, 1, 2, 4], [1, 2, 3, 4]]"
313,"[[0, 1, 3, 4], [0, 2, 3, 4]]"
314,"[[0, 1, 3, 4], [1, 2, 3, 4]]"
315,"[[0, 2, 3, 4], [1, 2, 3, 4]]"
316,"[[0], [1], [2]]"
317,"[[0], [1], [3]]"
318,"[[0], [1], [4]]"
319,"[[0], [1], [2, 3]]"
320,"[[0], [1], [2, 4]]"
321,"[[0], [1], [3, 4]]"
322,"[[0], [1], [2, 3, 4]]"
323,"[[0], [2], [3]]"
324,"[[0], [2], [4]]"
325,"[[0], [2], [1, 3]]"
326,"[[0], [2], [1, 4]]"
327,"[[0], [2], [3, 4]]"
328,"[[0], [2], [1, 3, 4]]"
329,"[[0], [3], [4]]"
330,"[[0], [3], [1, 2]]"
331,"[[0], [3], [1, 4]]"
332,"[[0], [3], [2, 4]]"
333,"[[0], [3], [1, 2, 4]]"
334,"[[0], [4], [1, 2]]"
335,"[[0], [4], [1, 3]]"
336,"[[0], [4], [2, 3]]"
337,"[[0], [4], [1, 2, 3]]"
338,"[[0], [1, 2], [1, 3]]"
339,"[[0], [1, 2], [1, 4]]"
340,"[[0], [1, 2], [2, 3]]"
341,"[[0], [1, 2], [2, 4]]"
342,"[[0], [1, 2], [3, 4]]"
343,"[[0], [1, 2], [1, 3, 4]]"
344,"[[0], [1, 2], [2, 3, 4]]"
345,"[[0], [1, 3], [1, 4]]"
346,"[[0], [1, 3], [2, 3]]"
347,"[[0], [1, 3], [2, 4]]"
348,"[[0], [1, 3], [3, 4]]"
349,"[[0], [1, 3], [1, 2, 4]]"
350,"[[0], [1, 3], [2, 3, 4]]"
351,"[[0], [1, 4], [2, 3]]"
352,"[[0], [1, 4], [2, 4]]"
353,"[[0], [1, 4], [3, 4]]"
354,"[[0], [1, 4], [1, 2, 3]]"
355,"[[0], [1, 4], [2, 3, 4]]"
356,"[[0], [2, 3], [2, 4]]"
357,"[[0], [2, 3], [3, 4]]"
358,"[[0], [2, 3], [1, 2, 4]]"
359,"[[0], [2, 3], [1, 3, 4]]"
360,"[[0], [2, 4], [3, 4]]"
361,"[[0], [2, 4], [1, 2, 3]]"
362,"[[0], [2, 4], [1, 3, 4]]"
363,"[[0], [3, 4], [1, 2, 3]]"
364,"[[0], [3, 4], [1, 2, 4]]"
365,"[[0], [1, 2, 3], [1, 2, 4]]"
366,"[[0], [1, 2, 3], [1, 3, 4]]"
367,"[[0], [1, 2, 3], [2, 3, 4]]"
368,"[[0], [1, 2, 4], [1, 3, 4]]"
369,"[[0], [1, 2, 4], [2, 3, 4]]"
370,"[[0], [1, 3, 4], [2, 3, 4]]"
371,"[[1], [2], [3]]"
372,"[[1], [2], [4]]"
373,"[[1], [2], [0, 3]]"
374,"[[1], [2], [0, 4]]"
375,"[[1], [2], [3, 4]]"
376,"[[1], [2], [0, 3, 4]]"
377,"[[1], [3], [4]]"
378,"[[1], [3], [0, 2]]"
379,"[[1], [3], [0, 4]]"
380,"[[1], [3], [2, 4]]"
381,"[[1], [3], [0, 2, 4]]"
382,"[[1], [4], [0, 2]]"
383,"[[1], [4], [0, 3]]"
384,"[[1], [4], [2, 3]]"
385,"[[1], [4], [0, 2, 3]]"
386,"[[1], [0, 2], [0, 3]]"
387,"[[1], [0, 2], [0, 4]]"
388,"[[1], [0, 2], [2, 3]]"
389,"[[1], [0, 2], [2, 4]]"
390,"[[1], [0, 2], [3, 4]]"
391,"[[1], [0, 2], [0, 3, 4]]"
392,"[[1], [0, 2], [2, 3, 4]]"
393,"[[1], [0, 3], [0, 4]]"
394,"[[1], [0, 3], [2, 3]]"
395,"[[1], [0, 3], [2, 4]]"
396,"[[1], [0, 3], [3, 4]]"
397,"[[1], [0, 3], [0, 2, 4]]"
398,"[[1], [0, 3], [2, 3, 4]]"
399,"[[1], [0, 4], [2, 3]]"
400,"[[1], [0, 4], [2, 4]]"
401,"[[1], [0, 4], [3, 4]]"
402,"[[1], [0, 4], [0, 2, 3]]"
403,"[[1], [0, 4], [2, 3, 4]]"
404,"[[1], [2, 3], [2, 4]]"
405,"[[1], [2, 3], [3, 4]]"
406,"[[1], [2, 3], [0, 2, 4]]"
407,"[[1], [2, 3], [0, 3, 4]]"
408,"[[1], [2, 4], [3, 4]]"
409,"[[1], [2, 4], [0, 2, 3]]"
410,"[[1], [2, 4], [0, 3, 4]]"
411,"[[1], [3, 4], [0, 2, 3]]"
412,"[[1], [3, 4], [0, 2, 4]]"
413,"[[1], [0, 2, 3], [0, 2, 4]]"
414,"[[1], [0, 2, 3], [0, 3, 4]]"
415,"[[1], [0, 2, 3], [2, 3, 4]]"
416,"[[1], [0, 2, 4], [0, 3, 4]]"
417,"[[1], [0, 2, 4], [2, 3, 4]]"
418,"[[1], [0, 3, 4], [2, 3, 4]]"
419,"[[2], [3], [4]]"
420,"[[2], [3], [0, 1]]"
421,"[[2], [3], [0, 4]]"
422,"[[2], [3], [1, 4]]"
423,"[[2], [3], [0, 1, 4]]"
424,"[[2], [4], [0, 1]]"
425,"[[2], [4], [0, 3]]"
426,"[[2], [4], [1, 3]]"
427,"[[2], [4], [0, 1, 3]]"
428,"[[2], [0, 1], [0, 3]]"
429,"[[2], [0, 1], [0, 4]]"
430,"[[2], [0, 1], [1, 3]]"
431,"[[2], [0, 1], [1, 4]]"
432,"[[2], [0, 1], [3, 4]]"
433,"[[2], [0, 1], [0, 3, 4]]"
434,"[[2], [0, 1], [1, 3, 4]]"
435,"[[2], [0, 3], [0, 4]]"
436,"[[2], [0, 3], [1, 3]]"
437,"[[2], [0, 3], [1, 4]]"
438,"[[2], [0, 3], [3, 4]]"
439,"[[2], [0, 3], [0, 1, 4]]"
440,"[[2], [0, 3], [1, 3, 4]]"
441,"[[2], [0, 4], [1, 3]]"
442,"[[2], [0, 4], [1, 4]]"
443,"[[2], [0, 4], [3, 4]]"
444,"[[2], [0, 4], [0, 1, 3]]"
445,"[[2], [0, 4], [1, 3, 4]]"
446,"[[2], [1, 3], [1, 4]]"
447,"[[2], [1, 3], [3, 4]]"
448,"[[2], [1, 3], [0, 1, 4]]"
449,"[[2], [1, 3], [0, 3, 4]]"
450,"[[2], [1, 4], [3, 4]]"
451,"[[2], [1, 4], [0, 1, 3]]"
452,"[[2], [1, 4], [0, 3, 4]]"
453,"[[2], [3, 4], [0, 1, 3]]"
454,"[[2], [3, 4], [0, 1, 4]]"
455,"[[2], [0, 1, 3], [0, 1, 4]]"
456,"[[2], [0, 1, 3], [0, 3, 4]]"
457,"[[2], [0, 1, 3], [1, 3, 4]]"
458,"[[2], [0, 1, 4], [0, 3, 4]]"
459,"[[2], [0, 1, 4], [1, 3, 4]]"
460,"[[2], [0, 3, 4], [1, 3, 4]]"
461,"[[3], [4], [0, 1]]"
462,"[[3], [4], [0, 2]]"
463,"[[3], [4], [1, 2]]"
464,"[[3], [4], [0, 1, 2]]"
465,"[[3], [0, 1], [0, 2]]"
466,"[[3], [0, 1], [0, 4]]"
467,"[[3], [0, 1], [1, 2]]"
468,"[[3], [0, 1], [1, 4]]"
469,"[[3], [0, 1], [2, 4]]"
470,"[[3], [0, 1], [0, 2, 4]]"
471,"[[3], [0, 1], [1, 2, 4]]"
472,"[[3], [0, 2], [0, 4]]"
473,"[[3], [0, 2], [1, 2]]"
474,"[[3], [0, 2], [1, 4]]"
475,"[[3], [0, 2], [2, 4]]"
476,"[[3], [0, 2], [0, 1, 4]]"
477,"[[3], [0, 2], [1, 2, 4]]"
478,"[[3], [0, 4], [1, 2]]"
479,"[[3], [0, 4], [1, 4]]"
480,"[[3], [0, 4], [2, 4]]"
481,"[[3], [0, 4], [0, 1, 2]]"
482,"[[3], [0, 4], [1, 2, 4]]"
483,"[[3], [1, 2], [1, 4]]"
484,"[[3], [1, 2], [2, 4]]"
485,"[[3], [1, 2], [0, 1, 4]]"
486,"[[3], [1, 2], [0, 2, 4]]"
487,"[[3], [1, 4], [2, 4]]"
488,"[[3], [1, 4], [0, 1, 2]]"
489,"[[3], [1, 4], [0, 2, 4]]"
490,"[[3], [2, 4], [0, 1, 2]]"
491,"[[3], [2, 4], [0, 1, 4]]"
492,"[[3], [0, 1, 2], [0, 1, 4]]"
493,"[[3], [0, 1, 2], [0, 2, 4]]"
494,"[[3], [0, 1, 2], [1, 2, 4]]"
495,"[[3], [0, 1, 4], [0, 2, 4]]"
496,"[[3], [0, 1, 4], [1, 2, 4]]"
497,"[[3], [0, 2, 4], [1, 2, 4]]"
498,"[[4], [0, 1], [0, 2]]"
499,"[[4], [0, 1], [0, 3]]"
500,"[[4], [0, 1], [1, 2]]"
501,"[[4], [0, 1], [1, 3]]"
502,"[[4], [0, 1], [2, 3]]"
503,"[[4], [0, 1], [0, 2, 3]]"
504,"[[4], [0, 1], [1, 2, 3]]"
505,"[[4], [0, 2], [0, 3]]"
506,"[[4], [0, 2], [1, 2]]"
507,"[[4], [0, 2], [1, 3]]"
508,"[[4], [0, 2], [2, 3]]"
509,"[[4], [0, 2], [0, 1, 3]]"
510,"[[4], [0, 2], [1, 2, 3]]"
511,"[[4], [0, 3], [1, 2]]"
512,"[[4], [0, 3], [1, 3]]"
513,"[[4], [0, 3], [2, 3]]"
514,"[[4], [0, 3], [0, 1, 2]]"
515,"[[4], [0, 3], [1, 2, 3]]"
516,"[[4], [1, 2], [1, 3]]"
517,"[[4], [1, 2], [2, 3]]"
518,"[[4], [1, 2], [0, 1, 3]]"
519,"[[4], [1, 2], [0, 2, 3]]"
520,"[[4], [1, 3], [2, 3]]"
521,"[[4], [1, 3], [0, 1, 2]]"
522,"[[4], [1, 3], [0, 2, 3]]"
523,"[[4], [2, 3], [0, 1, 2]]"
524,"[[4], [2, 3], [0, 1, 3]]"
525,"[[4], [0, 1, 2], [0, 1, 3]]"
526,"[[4], [0, 1, 2], [0, 2, 3]]"
527,"[[4], [0, 1, 2], [1, 2, 3]]"
528,"[[4], [0, 1, 3], [0, 2, 3]]"
529,"[[4], [0, 1, 3], [1, 2, 3]]"
530,"[[4], [0, 2, 3], [1, 2, 3]]"
531,"[[0, 1], [0, 2], [0, 3]]"
532,"[[0, 1], [0, 2], [0, 4]]"
533,"[[0, 1], [0, 2], [1, 2]]"
534,"[[0, 1], [0, 2], [1, 3]]"
535,"[[0, 1], [0, 2], [1, 4]]"
536,"[[0, 1], [0, 2], [2, 3]]"
537,"[[0, 1], [0, 2], [2, 4]]"
538,"[[0, 1], [0, 2], [3, 4]]"
539,"[[0, 1], [0, 2], [0, 3, 4]]"
540,"[[0, 1], [0, 2], [1, 2, 3]]"
541,"[[0, 1], [0, 2], [1, 2, 4]]"
542,"[[0, 1], [0, 2], [1, 3, 4]]"
543,"[[0, 1], [0, 2], [2, 3, 4]]"
544,"[[0, 1], [0, 2], [1, 2, 3, 4]]"
545,"[[0, 1], [0, 3], [0, 4]]"
546,"[[0, 1], [0, 3], [1, 2]]"
547,"[[0, 1], [0, 3], [1, 3]]"
548,"[[0, 1], [0, 3], [1, 4]]"
549,"[[0, 1], [0, 3], [2, 3]]"
550,"[[0, 1], [0, 3], [2, 4]]"
551,"[[0, 1], [0, 3], [3, 4]]"
552,"[[0, 1], [0, 3], [0, 2, 4]]"
553,"[[0, 1], [0, 3], [1, 2, 3]]"
554,"[[0, 1], [0, 3], [1, 2, 4]]"
555,"[[0, 1], [0, 3], [1, 3, 4]]"
556,"[[0, 1], [0, 3], [2, 3, 4]]"
557,"[[0, 1], [0, 3], [1, 2, 3, 4]]"
558,"[[0, 1], [0, 4], [1, 2]]"
559,"[[0, 1], [0, 4], [1, 3]]"
560,"[[0, 1], [0, 4], [1, 4]]"
561,"[[0, 1], [0, 4], [2, 3]]"
562,"[[0, 1], [0, 4], [2, 4]]"
563,"[[0, 1], [0, 4], [3, 4]]"
564,"[[0, 1], [0, 4], [0, 2, 3]]"
565,"[[0, 1], [0, 4], [1, 2, 3]]"
566,"[[0, 1], [0, 4], [1, 2, 4]]"
567,"[[0, 1], [0, 4], [1, 3, 4]]"
568,"[[0, 1], [0, 4], [2, 3, 4]]"
569,"[[0, 1], [0, 4], [1, 2, 3, 4]]"
570,"[[0, 1], [1, 2], [1, 3]]"
571,"[[0, 1], [1, 2], [1, 4]]"
572,"[[0, 1], [1, 2], [2, 3]]"
573,"[[0, 1], [1, 2], [2, 4]]"
574,"[[0, 1], [1, 2], [3, 4]]"
575,"[[0, 1], [1, 2], [0, 2, 3]]"
576,"[[0, 1], [1, 2], [0, 2, 4]]"
577,"[[0, 1], [1, 2], [0, 3, 4]]"
578,"[[0, 1], [1, 2], [1, 3, 4]]"
579,"[[0, 1], [1, 2], [2, 3, 4]]"
580,"[[0, 1], [1, 2], [0, 2, 3, 4]]"
581,"[[0, 1], [1, 3], [1, 4]]"
582,"[[0, 1], [1, 3], [2, 3]]"
583,"[[0, 1], [1, 3], [2, 4]]"
584,"[[0, 1], [1, 3], [3, 4]]"
585,"[[0, 1], [1, 3], [0, 2, 3]]"
586,"[[0, 1], [1, 3], [0, 2, 4]]"
587,"[[0, 1], [1, 3], [0, 3, 4]]"
588,"[[0, 1], [1, 3], [1, 2, 4]]"
589,"[[0, 1], [1, 3], [2, 3, 4]]"
590,"[[0, 1], [1, 3], [0, 2, 3, 4]]"
591,"[[0, 1], [1, 4], [2, 3]]"
592,"[[0, 1], [1, 4], [2, 4]]"
593,"[[0, 1], [1, 4], [3, 4]]"
594,"[[0, 1], [1, 4], [0, 2, 3]]"
595,"[[0, 1], [1, 4], [0, 2, 4]]"
596,"[[0, 1], [1, 4], [0, 3, 4]]"
597,"[[0, 1], [1, 4], [1, 2, 3]]"
598,"[[0, 1], [1, 4], [2, 3, 4]]"
599,"[[0, 1], [1, 4], [0, 2, 3, 4]]"
600,"[[0, 1], [2, 3], [2, 4]]"
601,"[[0, 1], [2, 3], [3, 4]]"
602,"[[0, 1], [2, 3], [0, 2, 4]]"
603,"[[0, 1], [2, 3], [0, 3, 4]]"
604,"[[0, 1], [2, 3], [1, 2, 4]]"
605,"[[0, 1], [2, 3], [1, 3, 4]]"
606,"[[0, 1], [2, 4], [3, 4]]"
607,"[[0, 1], [2, 4], [0, 2, 3]]"
608,"[[0, 1], [2, 4], [0, 3, 4]]"
609,"[[0, 1], [2, 4], [1, 2, 3]]"
610,"[[0, 1], [2, 4], [1, 3, 4]]"
611,"[[0, 1], [3, 4], [0, 2, 3]]"
612,"[[0, 1], [3, 4], [0, 2, 4]]"
613,"[[0, 1], [3, 4], [1, 2, 3]]"
614,"[[0, 1], [3, 4], [1, 2, 4]]"
615,"[[0, 1], [0, 2, 3], [0, 2, 4]]"
616,"[[0, 1], [0, 2, 3], [0, 3, 4]]"
